par,modelo,peso_modelo,distancia_km,tiempo_determinista_min,costo_objetivo,costo_astar,costo_dijkstra,diferencia_abs,coincide,NE_astar,NE_dijkstra,ejecucion_astar_ms,ejecucion_dijkstra_ms,ruta_cambio,difiere_referencia,media_simulada_min,desviacion_simulada_min,percentil_90_min,IC_pct
Estadio Oeste → San Pedro,Menor tiempo,travel_time_min,9.809289373757938,9.956304922566137,9.956304922566137,9.956304922566135,9.956304922566137,1.7763568394002505e-15,True,4235,4877,109.70920001273043,45.25370002374984,True,False,9.999639570535678,1.5862290983629217,12.056834195647934,83.8
Cuatro Reinas → Paso Ancho,Menor tiempo,travel_time_min,5.558033633341159,8.22107514218168,8.22107514218168,8.22107514218168,8.22107514218168,0.0,True,3094,3245,84.05750000383705,32.37290002289228,False,False,8.257874264983286,1.3363087999330645,10.035802318022844,82.89999999999999
Hatillo → Curridabat,Menor tiempo,travel_time_min,9.193287353421631,8.981229779547716,8.981229779547716,8.981229779547716,8.981229779547716,0.0,True,3197,4105,84.95809999294579,41.872500005410984,False,False,8.934600581023824,1.3718007639794265,10.750613954983235,84.39999999999999
Estadio Oeste → San Pedro,Ajustada por variabilidad,risk_adjusted_time_min,9.803514747760216,9.983676057412593,18.51901276295399,18.51901276295399,18.51901276295399,0.0,True,5293,4554,146.35049999924377,55.23100000573322,True,True,10.028307150349628,1.590661702213423,12.067078361543471,83.89999999999999
Cuatro Reinas → Paso Ancho,Ajustada por variabilidad,risk_adjusted_time_min,5.558033633341159,8.22107514218168,19.512194256614883,19.512194256614873,19.512194256614883,1.0658141036401503e-14,True,5382,4773,173.61919998074882,53.25509997783229,False,False,8.257874264983286,1.3363087999330645,10.035802318022844,82.89999999999999
Hatillo → Curridabat,Ajustada por variabilidad,risk_adjusted_time_min,9.193287353421631,8.981229779547716,16.670566420603148,16.67056642060314,16.670566420603148,7.105427357601002e-15,True,4324,3640,162.4329000187572,38.512300001457334,False,False,8.934600581023824,1.3718007639794265,10.750613954983235,84.39999999999999
