par,distancia_optima_km,tiempo_optimo_min,tiempo_base_min,RT_pct,RV_pct,IC_pct,NE,costo_dijkstra_min,NE_dijkstra,ejecucion_astar_ms,ejecucion_dijkstra_ms,punto_base
Estadio Oeste → San Pedro,9.809289373757938,9.956304922566137,11.105642552947813,10.349132208262935,9.115844525659488,83.8,4235,9.956304922566137,4877,55.52180000813678,25.76970000518486,Torre Mercedes
Cuatro Reinas → Paso Ancho,5.558033633341159,8.22107514218168,8.592027842289184,4.317405703479071,3.8555010115701727,82.89999999999999,3094,8.22107514218168,3245,35.54810001514852,15.935400006128475,Hospital de Niños - Paseo Colón
Hatillo → Curridabat,9.193287353421631,8.981229779547716,12.449960067978544,27.861376819612836,27.81820027120675,84.39999999999999,3197,8.981229779547716,4105,38.93069998594001,19.97959997970611,Paseo Colon
